classificacao_nps,categoria_modelo,qtd,pct_linha
 afinal, a minha preocupação não é com a loja,1.0,100.0
 como muitos outros clientes,Outros / Genéricos,1.0,100.0
" deixo nos meus fones de ouvido. Em comércio prefiro """"música relaxante",Outros / Genéricos,1.0,100.0
 e tenho de reiniciar; - não consigo pesquisar produtos pelos nomes - aparecem por um instante e desaparecem; - se inicio a escolha de produtos e interrompo por alguns dias (bastam 2 ou 3 dias) quando resolvo continuar a escolha tenho de começar do zero,Outros / Genéricos,1.0,100.0
 fixar preço,Outros / Genéricos,1.0,100.0
" muitas vezes acompanhada de batatas ou legumes.""",False,1.0,100.0
 não é de hoje,0.381,1.0,100.0
0.3575, com uma etiqueta escrita a mão. Me causou um impacto negativo,1.0,100.0
0.4586,Neutro polarizado,1.0,100.0
0.5165,Promotor com texto negativo,1.0,100.0
0.5168,Sem caso extremo,1.0,100.0
0.6631, pois não me sentia segura em momento algum. Funcionários fazem o que podem,1.0,100.0
0.6668,Sem caso extremo,1.0,100.0
0.7005, ainda assim,1.0,100.0
0.7557, tive eu que desviar dela,1.0,100.0
0.9031, onde alguns produtos (Linguiça Fina c/4) pagava 4,1.0,100.0
0.9645,90 o kg. Fiquei preocupado,1.0,100.0
0.9776, mas concordamos que é um sofrimento. A questão é só a praticidade. Desta vez o pedido só saiu pelo whatsapp. E mais uma coisa,1.0,100.0
0.9979, limitando-se a dizer que se eu tivesse o código,1.0,100.0
0.9984," mas tenho uma caixa e um saco para entregar."""" Ela pediu que ele lesse a caixa para saber qual era a empresa. Finalmente",1.0,100.0
0.9998, lamentamos o ocorrido,1.0,100.0
Atendimento / Loja física, ou a Jessica que mudou de loja para se tornar gerente... enfim,0.3984,100.0
Detrator com texto positivo,47,1.0,100.0
Entrega / Pedido digital," foi você quem pediu!"""" (???). Falei que não tinha recebido... E só então ele sugeriu que podia ser os ultimos numeros do meu telefone",1.0,50.2108857200241
Entrega / Pedido digital," por que ela não verificou desde então?"""" Ela encontrou o pedido e os atendentes começaram a separar os produtos. Em um dado momento",0.9916,49.7891142799759
False, a gordura foi estrategicamente posicionada na parte interna da embalagem,1.0,2.127659574468085
False," a loja é limpa e bem organizada e os atendentes são sempre gentis e solicitos. Com relação ao pessoal não há nada além de elogios.""",1.0,2.127659574468085
False, arrumem esse site bugado! Então já que fizeram a propaganda enganosa de um cupom que não funcionava,1.0,2.127659574468085
False, como pedido de desculpas. Uma sugestão para vocês: Se acreditam em cultura de marca revisitem vosso departamento de UX e também os processos que orientam conciliadores,1.0,2.127659574468085
False, etc,1.0,2.127659574468085
