sentimento_modelo,categoria_modelo,loja,comentario,confianca_sentimento,confianca_categoria
236,False,0.5513,"de ir até a loja fazer uma compra e ficar devendo) e depois talvez pelo fato de uma compra de valor pequeno tbem de forma imediata perguntar se Necessitava de """" Cupom Fiscal """" ou seja Percebemos nos jovens do dia de frente de Uma empresa tão importante com Determinados """" VÍCIOS """" e """" Malicias """" infelizmente de empresas sem Idoneidade e não percebendo e ainda despreocupado de oferecer ao cliente situações que lesam a Empresa perante as normas fiscais e com a """" certeza """" de saberem que não seram punidos e tranquilos perante ao consumidor que compra. Poderia ser um fiscal do ICMS ou até mesmo um cliente Oculto estando remunerado a ir até para fazer uma Avaliação do atendimento a serviço da própria empresa. Muito triste não pelo """" valor' e sim pelo engajamento perante o que se faz de errado se tratando de uma pessoa tão jovem..Infelizmente.""",1279,False
108,False,0.6522,"isso minha esposa acabou de reclamar agora mesmo fazendo a janta as 19:45. por favor não deixe a qualidade dos produtos cair. Foi comprar uma peça de picanha no ano novo o proprio atendente falou que estava dura e não compençava. obrigado""",605,False
95,False,0.4923,"mas estava ok. Dava erro no fechamento do pedido por falta de informação sobre produtos disponíveis. Agradeço.""",578,False
82,False,0.4119,"talvez no próximo caminhão. """" Sempre respondo á vossa enquete mas estou com a sensação que o conteúdo do meu texto é analisado por um robô ou por uma IA sem o I""",417,False
69,False,0.4676,"novos produtos"""" ndp seria mais útil a todos. Poupa o tempo de vocês e o nosso.""",376,False
58,False,0.5388,"ofereceremos Croissant de Chocolate na loja."""" Eu compraria mais se soubesse o sabor dos produtos.""",352,False
53,False,0.8207,"brócolis e etc.... Poderia melhorar! Atendente muito simpática. Aliás sempre são prestativos . Falta a Swift melhorar em algumas coisas e fazer ofertas que que são realmente ofertas.""",322,False
47,False,0.3826,"não voltei ao supermercado. Fica a dica: a loja própria tem que ser vantajosa em custo.""",274,False
43,False,0.6109,"parecia que ela tinha descongelado e congelado novamente. Acabei jogando a mesma toda fora. O restante da compra estava Ok.""",248,False
45,False,0.4392,"pois fui em 3 lojas e não encontrei. Também não encontrei a """"Costela Bovina Especial sem Osso"""" com um corte especial com mais carne e uma camada de gordura.""",244,False
39,False,0.4716,"tipo """"tem mas acabou"""" Isso precisa melhorar muito""",235,False
40,False,0.4933,"pois precisava de um código e o mesmo veio pelo e-mail e não pelo whatsapp. Mas nada que envolva a qualidade dos produtos. 2ª vez que compro e com certeza compro novamente!""",225,False
33,False,0.5511,"como acem e peito.... Pelo valor cobrado deveria ser melhor selecionado....já não é a primeira vez....""",207,False
36,False,0.4985,"que não é minha opção nunca. O que acontece?""",198,False
35,False,0.4549,"Espero ter ajudado Obrigado""",197,False
34,False,0.4945,"tem uns que nem parece que trabalham alí. No geral gosto da Swift.""",192,False
27,False,0.5423,"somente uma sugestão mesmo. Obrigado.""",165,False
" já melhoraram muito e acredito que estão no caminho certo.""",False,negativo,"Na primeira tentativa, minha compra precisou ser dividida em duas, pois não tinha tudo em uma única loja. Uma de R$373 e outra de R$329. A atendente Bianca Freitas não fez nenhum movimento para disponibilizar o frete grátis, pois sabia que não era por minha culpa. Cancelei a segunda compra e fui para o site, realizei a compra por lá e recebi notificação de que iria receber as duas pelo mesmo entregador. Mas ele chegou com uma única compra, disse que foi informado que a segunda tinha sido extraviada. Entrei em contato com o SAC e essa parte foi difícil, só na terceira ligação resolveram o meu problema. Fiquei feliz pois vocês melhoraram bastante, resolveram no mesmo dia. Mas poderiam ter enviado a compra, pois já sabiam que tinha sido extraviada. É um desgastante para o cliente ter que ""provar"""" que não recebeu e fazer infinitas ligações. Ainda assim admito",160,False
" Douglas Malaquias""",False,0.9959,a atenção e prontidão demonstradas pela equipe da loja de Cajamar merecem reconhecimento. Agradeço pelo acolhimento e pelo atendimento prestado. Atitudes como essa reforçam o compromisso com a experiência e o bem-estar dos clientes. Atenciosamente,155,False
